node_id,officer_count,name,country_codes
11010431,632,NWT CONSEIL SA,CHE
23000140,632,C.I.B.C. TRUST COMPANY LIMITED,BHS
23000167,632,CORPORATE SERVICES INTERNATIONAL LIMITED,BHS
23000151,629,PICTET BANK & TRUST,BHS
11000598,619,TOPWORLD REGISTRATIONS LTD.,HKG
32000219,617,E. DAWSON ROBERTS & COMPANY,BHS
11007078,611,ILS FIDUCIARIES (IOM) LIMITED,IMN
11012469,607,CANNON ASSET MANAGEMENT LTD.,GGY;GBR
11011192,603,LAVECO LTD.,HUN
32000194,603,"HARRY B. SANDS, LOBOSKY",BHS
23000050,599,GLOBAL CORPORATE MANAGEMENT LTD.,BHS
11003138,594,WANG MIN,HKG
23000429,593,SUCRE & SUCRE (BAHAMAS) LIMITED,BHS
23000481,593,CREDIT AGRICOLE MANAGEMENT SERV (BAH),BHS
11010137,588,USA CORPORATE SERVICES INC.(NEW YORK),CHE
11012591,586,"CAVERSHAM, CHARTERED CERTIFIED ACCOUNTANTS",JEY;GBR
11002723,584,AUDINA TREUHAND AG,LIE
11000796,578,UBS AG (SUCC. RUE DU RHÔNE),CHE
11009522,575,POPULAR CORPORATE SERVICE LIMITED #1,HKG
11012661,569,GENINT SA,CHE
111293,564,"Credit Suisse, Singapore",SGP
11000200,564,EST SA,CHE
119129,559,PricewaterhouseCoopers Ltd.,HKG
23000132,559,SANTANDER BANK & TRUST (BAHAMAS) Ltd.,BHS
298326,557,Goodwin Management Corporation,RUS
11000705,555,NWT MANAGEMENT S.A.,CHE
11008930,554,PROBUS COMPAGNIE S.A.,CHE
23000349,551,VALDY ADMINISTRATION (BAHAMAS) LTD.,BHS
298235,545,North Sea Profession Co.,HKG
11001487,542,CENTURION MANAGEMENT SERVICES LIMITED,JEY;GBR
23000272,542,ALAN E. H. BATES,BHS
11004899,541,BTT FIDUCIARY SERVICES (SUISSE) S.A.,CHE
11000044,540,HORIZON INVESTMENT SA,CHE
295237,526,R & K Consultants Limited (Taichung),TWN
297603,520,"Andersen Business Services, Inc.",RUS
11014018,496,ALF CONSULTING S.A.,
123297,494,Amond & Smith,XXX
11003698,493,GESTRUST S.A.,CHE
23000083,491,PRICEWATERHOUSECOOPERS (BAHAMAS) LIMITED,BHS
11008741,490,PINNACLE TRUSTEES LIMITED,JEY;GBR
130000002,490,Cartrust Corporation Ltd,BRB
11008000,486,COUTTS & CO. TRUSTEES (JERSEY) LIMITED,JEY;GBR
23000144,486,GUARANTY TRUST BANK LIMITED,BHS
11012174,481,NORTH ATLANTIC TRUST COMPANY LIMITED,
230000002,476,Caribbean Trust Company (Nevis) Limited,KNA
11004036,474,RYA MANAGEMENT LIMITED,HKG
23000158,474,BANK OF NOVA SCOTIA TRUST CO. (BAHS) LTD,BHS
80000392,473,Appleby Corporate Services (BVI) Limited,VGB
296518,469,Deloitte & Touche - ??????????  - (Taipei),TWN
23000511,468,EQUITY BANK AND TRUST BAHAMAS LIMITED,BHS
11005486,465,SOCIÉTÉ GÉNÉRALE BANK & TRUST LUXEMBOURG,LUX
23000385,463,EURO-DUTCH TRUST (PROVIDENCE TRUST),BHS
230000073,463,Equity Management & Accountancy Corp.,KNA
11010062,458,BOREL & BARBEY,CHE
11007715,456,P & B SERVICES LIMITED,HKG
240090034,452,SFM CORPORATE SERVICES S.A.,
23000034,451,FREEPORT CORPORATE CONSULTANTS LTD.,BHS
11009412,450,J. P. DAMIANI & ASOCIADOS,URY
11011609,448,MICHAEL B. EDGE,USA
298217,446,Moscow Law Agency,RUS
230000031,445,Beaumont Corporation Limited,KNA
230000036,440,Despen Trust Limited,KNA
32000232,439,OWNER,BHS
297694,436,Cornhill International Limited,GBR
11001096,436,PHATSHOEANE HENNEY ATTORNEYS,ZAF
11011866,435,MOSSACK FONSECA & CO. (ZURICH) AG,PAN;CHE
23000126,434,RHONE TRUSTEES (BAHAMAS) LTD.,BHS
123226,433,Shelf Portfolio - Portcullis TrustNet (HK) Ltd,XXX
292813,431,"Earnest & Co., CPAs ????????",TWN
23000336,431,HELVETIC MANAGEMENT SERVICES LTD.,BHS
23000445,430,ARNER BANK,BHS
23000444,427,CORNER BANK OVERSEAS LIMITED,BHS
23000315,426,DUPUCH & TURNQUEST (FREEPORT),BHS
11004487,424,KLEINWORT BENSON (JERSEY) TRUSTEES LTD.,JEY;GBR
298296,422,Stanley Davis Group Limited,GBR
11011699,422,GENEVA MANAGEMENT GROUP  SWITZERLAND  SA,
298172,420,Lindfield International Limited,HKG
42638,416,BANCALLIANCE PTE LTD,SGP
23000446,416,L & L CORPORATE & LEGAL SERVICES LTD.,BHS
23000401,413,CARDINAL INTERNATIONAL CORP.,BHS
23000409,413,LGM MANAGEMENT,BHS
230000024,412,Daniel Brantley,KNA
23000016,408,WORLDWIDE CORPORATE SERVICE PROVIDERS,BHS
11004124,406,ALBA CORPORATE ENTERPRISES LIMITED,CYP
11001727,405,DI SAN DI MANAGEMENT COMPANY LIMITED,TWN
11005485,404,LANDSBANKI LUXEMBOURG S.A.,LUX
119396,403,Allen & Bryans Consultants (Int'l) Pte Ltd,SGP
23000139,400,FIRST CHOICE SERVICES LTD.,BHS
291482,399,"Gold-In Consulting Co., Ltd. ???????????????",TWN
23000018,398,GSO CORPORATE SERVICES LTD.,BHS
298336,397,Westglobe Corporate Services,USA
32000205,395,DUPUCH & TURNQUEST,BHS
230000009,395,Hanver Corporate Services Limited,KNA
11012457,394,FIDINAM (GENEVE) S.A.,
11011542,393,ANDREA DE GRANDI,CHE
297705,392,Corporate Solutions Inc.,USA
292152,391,JBL Consultants Ltd.,HKG
11009036,387,WBC SECRETARIES LIMITED,HKG
230000087,386,PRESTIGE TRUST COMPANY LTD,KNA
298154,385,Juris Magister,USA
23000225,383,E.P. TOOTHE & ASSOCIATES,BHS
11011946,380,HOTEX CORPORATE SERVICES LIMITED,HKG
291993,379,ITAS LIMITED,HKG
298415,379,Express Co Registration Pte Ltd,SGP
11009871,377,ROTHSCHILD TRUST GUERNSEY LIMITED,GGY;GBR
297670,375,Corporate Creations International Inc.,USA
11006106,375,WESTERN TRUST CORPORATION,PAN
32000149,375,ROBERTS ISAACS CORPORATE SERVICES LTD.,BHS
11010799,373,VERITE TRUST COMPANY LIMITED,JEY;GBR
23000153,373,MEESPIERSON BAHAMAS LTD.,BHS
11010574,371,SANTO MANAGEMENT LIMITED,HKG
23000040,371,BNP PARIBAS (BAHAMAS) LIMITED,BHS
11012191,370,MONFORT CAPITAL PARTNERS JLT,
11006802,369,NORDEA BANK S.A.,LUX
23000367,368,FORTIS FUND SERVICES (BAHAMAS) LIMITED,BHS
11003326,367,MERIDIAN CORPORATE SERVICES,CHE
297606,366,"Alesta Consulting, S.A.",XXX
23000372,364,SWISS BAHAMAS MGMT. SERVICES LTD,BHS
23000411,362,"MONTAQUE CORPORATE PARTNERS, LTD.",BHS
11011668,361,NATIONWIDE COMPANY SERVICES LIMITED,GBR
11012622,361,IAP INVESTMENT & TRUST SERVICES AG,CHE
23000246,361,"SMITH, SMITH & COMPANY",BHS
23000390,360,EURO-CARIBBEAN MANAGEMENT SERVICES LTD.,BHS
11004244,358,IFM GROUP LIMITED,JEY;GBR
230000035,357,"LIBURD & DASH, L.P.",KNA
11000299,356,PEERSON ASSET MANAGEMENT S.A.,CHE
11006126,351,ALPHA MANAGEMENT SERVICES (LUXEMBOURG) S.A.,LUX
23000039,351,CITCO FUND SERVICES (BAHAMAS) LIMITED,BHS
11000123,343,HIRSCH & CIE,CHE
11008448,340,WABERIA CONSULTING LLC,SYC;CZE
11011086,339,TRENSIS ENTERPRISE INCORPORATED,RUS
11003262,338,CAPITA FIDUCIARY (LUXEMBOURG),LUX
11011497,338,SUN HUNG KAI PROPERTIES LIMITED,HKG
11013818,338,SALAMANCA GROUP TRUST  JERSEY  LTD,JEY;GBR
11000007,337,FIGEST CONSEIL S.A.,CHE
11013791,337,HANSARD LIMITED,GGY;GBR
11004150,334,FIRST NAMES GROUP (IOM),JEY;IMN
11001503,333,HAMILTON TRUSTEES LIMITED,GGY;GBR
11003120,331,DRESDNER BANK LATEINAMERIKA AG,PAN;CHE
11004394,331,PORTRIDGE INVEST LIMITED,GBR
11011384,328,EFG TRUST COMPANY LIMITED,JEY;GBR
11012160,327,VOLAW TRUST & CORPORATE SERVICES LIMITED.,GBR
11000398,326,HSBC PRIVATE BANK (SUISSE) S.A.  / AXEL STERN,CHE
23000057,326,BLUEWOOD MANAGEMENT LTD.,BHS
11012592,323,ROYAL BANK OF CANADA TRUST COMPANY (INTERNATIONAL) LIMITED,JEY;GBR
119704,320,ATA International Co Ltd,HKG
230000022,320,"Nisbetts, Law Chambers",KNA
114242,319,RC Corporate Services Limited,HKG
11010584,318,LUBBOCK FINE (LONDON),GBR
23000344,318,RONALD H KNOWLES,BHS
230000095,318,Equity First Trustees (Nevis) Ltd,KNA
11010900,317,HELM TRUST COMPANY LIMITED,JEY;GBR
11009426,316,ESTUDIO VICTOR PAULLIER & CIA.,URY
11010693,313,STM FIDECS MANAGEMENT LTD.,GIB
23000523,313,JULIUS BAER TRUST COMPANY (BAHAMAS) LTD,BHS
230000047,311,Global Management & Consultancy Corp.,KNA
297652,310,"American Corporate Services, Inc.",USA
23000214,310,ROBERTS ISAACS CORPORATE SERVICES LTD.,BHS
290381,309,"Deutsche Bank AG, Singapore Branch",SGP
11009266,309,TROWERS & HAMLINS,GBR
11011374,309,"JUNOD, MUHLSTEIN, LEVY & PUDER",CHE
230000048,309,Renaissance Trust Ltd (Not in Operation),KNA
23000072,308,CATES & CO. (FREEPORT),BHS
11010837,306,LATINCONSULT INC.,PAN
23000215,306,DUPUCH & TURNQUEST,BHS
11004781,305,"HONGKONG WANYU REGISTRY CO., LIMITED",HKG
11009152,305,RYON LTD.,CHE
23000278,303,THORAND BANK & TRUST LIMITED,BHS
23000143,302,DELTEC BANK & TRUST CO. LTD.,BHS
23000528,302,AMICORP BAHAMAS MANAGEMENT LIMITED,BHS
298323,301,Topworld Registrations,HKG
11000376,301,"METAXAS, SPYRO A.",CHE
32000175,299,"NOTTAGE, MILLER & CO.(NASSAU)",BHS
297642,294,BBP-Baltic Ltd.,LVA
23000475,293,Intertrust (Bahamas) Limited,BHS
230000090,293,Octagon Consultants & Services Ltd,KNA
296897,292,Victon Registrations Limited,HKG
298312,292,T & C First Secretarial Ltd.,GBR
11004646,290,C.F.M.   S.A.M.,MCO
11001660,289,GLOBAL WEALTH MANAGEMENT CENTER LIMITED,RUS
23000277,289,LEADENHALL,BHS
23000366,286,BNP PRIVATE BANK & TRUST BAH,BHS
298082,285,International Business Company Formation Inc.,USA
240090001,285,CHRISTODOULOS VASSILIADES,
11010184,284,TOTAL CORPORATE SERVICES LIMITED,HKG
11011428,283,POSADAS & VECINO ZONA FRANCA SRL,URY
23000152,282,LLOYDS BANK INTERNATIONAL LIMITED,BHS
11011810,281,QUICKEY ACCOUNTING & SECRETARIAL SERVICES LIMITED,HKG
23000241,281,E. DAWSON ROBERTS & COMPANY,BHS
11013528,279,QING DAO GAO BAO INVESTMENT CONSULTANT LIMITED,CHN
298198,276,Global Wealth Management Center Limited,RUS
11012061,276,BSI INTERNATIONAL PRIVATE BANKING S.A.M,MCO
11004495,273,CAREY NOVA SA,CHE
